Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
2033,Ford,22000,E85 Flex Fuel,Automatic,Other,Black,Accident reported,Yes,53000,7,385.0,6.2,8.0
2804,Toyota,65290,Gasoline,Automatic,Blue,Black,Accident reported,Yes,26450,6,278.0,3.5,6.0
1165,Cadillac,112000,Gasoline,Automatic,Blue,Other,Accident reported,Yes,14599,8,304.0,3.6,6.0
2050,Hyundai,45303,Gasoline,Automatic,White,Black,None reported,Yes,20999,8,348.0,3.8,6.0
3399,Tesla,23250,,Automatic,Grey,White,None reported,Yes,57000,6,518.0,,
339,Chevrolet,4000,Gasoline,Automatic,Black,Red,Accident reported,Yes,73900,1,490.0,6.2,8.0
2459,Mercedes-Benz,67800,Gasoline,Automatic,Black,Black,None reported,Yes,13999,14,268.0,3.5,6.0
265,Lincoln,64855,Gasoline,Automatic,Silver,Other,None reported,Yes,46995,5,450.0,3.5,6.0
3880,BMW,91500,Gasoline,Automatic,Blue,Other,Accident reported,Yes,13599,13,300.0,3.0,6.0
1771,Bentley,79089,E85 Flex Fuel,Automatic,White,Other,None reported,Yes,46999,12,567.0,6.0,12.0
271,Honda,224000,Gasoline,Manual,Black,Grey,None reported,Yes,3900,21,160.0,2.4,4.0
696,Chevrolet,24965,Gasoline,Automatic,Black,Black,Accident reported,Yes,22995,3,,1.2,
3972,Audi,41000,Gasoline,Automatic,White,Other,None reported,Yes,39900,5,329.0,3.0,6.0
244,Ford,20000,Gasoline,Automatic,Black,Black,None reported,Yes,78499,1,310.0,3.5,6.0
3761,Nissan,153350,Gasoline,Automatic,Black,Black,Accident reported,Yes,9000,10,182.0,2.5,4.0
476,Acura,3415,Gasoline,Unknown,White,Other,None reported,,54998,1,,,
2032,INFINITI,89106,Gasoline,Unknown,White,Other,None reported,Yes,18000,7,295.0,3.5,6.0
3400,MINI,63500,Gasoline,Manual,Silver,Black,None reported,Yes,10500,13,181.0,1.6,4.0
3693,Porsche,11256,Gasoline,Automatic,Red,Black,None reported,Yes,124900,4,379.0,3.0,6.0
813,BMW,50000,Gasoline,Automatic,Blue,Gold,None reported,Yes,43000,5,335.0,3.0,6.0
1914,RAM,35003,Gasoline,Automatic,White,Black,None reported,Yes,40999,3,,5.7,
3375,Nissan,74750,Gasoline,Automatic,Black,Black,None reported,Yes,12500,12,188.0,1.6,4.0
3943,Mercedes-Benz,4000,Diesel,Automatic,White,Black,None reported,Yes,65000,1,211.0,2.0,4.0
1804,Acura,116500,Gasoline,Manual,Red,Black,None reported,Yes,15999,16,286.0,3.5,6.0
3052,Jeep,41000,Gasoline,Automatic,White,Black,None reported,Yes,25000,8,285.0,3.6,6.0
250,RAM,49750,Gasoline,Automatic,Black,Grey,None reported,Yes,65000,8,280.0,3.6,6.0
545,Nissan,535,Gasoline,Manual,Yellow,Black,None reported,Yes,65990,1,400.0,3.0,6.0
738,Aston,25991,Gasoline,Automatic,Silver,Black,None reported,Yes,69995,14,420.0,4.7,8.0
310,Lexus,54000,Gasoline,Automatic,White,Black,None reported,Yes,27000,9,235.0,2.0,4.0
1131,Lincoln,88000,Gasoline,Unknown,Black,Black,None reported,Yes,18500,8,335.0,2.7,6.0
1449,Honda,72900,Gasoline,Manual,Black,Black,Accident reported,Yes,35500,6,306.0,2.0,4.0
3881,Chevrolet,50850,Gasoline,Manual,Blue,Black,None reported,Yes,37000,7,455.0,6.2,8.0
15,Land,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990,11,375.0,5.0,8.0
